issuer,Idate,Fdate,ISIN,ticker,SIC
Sky Hawk Computer Grp Hldg Ltd,2002/1/15,2002/1/8,,1129,3577
Anhui Conch Cement Co Ltd,2002/1/22,2002/1/22,,914,3241
VS International Group Ltd,2002/2/5,2002/1/31,,1002,3089
Dream International Ltd,2002/2/6,2002/1/29,,1126,3942
First Natural Foods Holdings,2002/2/7,2002/1/30,,1076,2037
Hon Po Group(Lobster King)Ltd,2002/2/8,2002/1/31,,228,5812
Moiselle Int'l Holdings Ltd,2002/2/8,2002/1/31,,130,2339
Water Oasis Group Ltd,2002/2/27,2002/2/27,,1161,5999
Sewco Intl Hldgs Ltd,2002/3/4,2002/2/22,,209,3942
Yardway Group Ltd,2002/3/19,2002/3/19,,646,5088
Fu Cheong Intl Hldg Ltd,2002/3/25,2002/3/22,,916,3955
Kenfair Intl(Hldgs)Ltd,2002/3/25,2002/3/25,,223,7389
Natural Beauty Bio-Tech Ltd,2002/3/26,2002/3/19,,157,2841
Wang Sing Intl Holdings Group,2002/4/16,2002/4/16,,2389,5084
Greenfield Chemical Holdings,2002/4/26,2002/4/18,,582,5198
VST Holdings Ltd,2002/4/29,2002/4/29,,856,5734
Linmark Group Ltd,2002/4/30,2002/4/30,,915,8742
Sino Prosper Holdings Ltd,2002/4/30,2002/4/30,,766,1521
China Shipping Dvlp Co Ltd,2002/5/9,2002/5/9,,1138,4491
Chitaly Holdings Ltd,2002/5/13,2002/5/2,,1198,2519
Topsearch Intl(Holdings)Ltd,2002/6/10,2002/6/1,,2323,3672
Harbin Brewery Group Ltd,2002/6/21,2002/6/10,,249,2082
Global Trend Intelligent Tech,2002/6/26,2002/6/18,,691,8742
Teem Foundation Group Ltd,2002/7/22,2002/7/12,,628,1751
BYD Co Ltd,2002/7/26,2002/7/22,CN0006617467,1211,3711
Inno-Tech Holdings Ltd,2002/7/30,2002/7/30,,8202,7373
Surge Recreation Holdings Ltd,2002/8/9,2002/7/31,,703,7996
Huafeng Envi Protection,2002/8/20,2002/8/20,,364,2231
Long Far Pharm Hldg Ltd,2002/8/27,2002/8/27,,2898,2836
Ming Fung Jewellery Group Ltd,2002/8/30,2002/8/22,,860,3911
Suga Intl Hldg Ltd,2002/9/6,2002/9/6,,912,3634
Asia Zirconium Ltd,2002/10/25,2002/10/17,,395,2899
LeRoi Holdings Ltd,2002/10/31,2002/10/23,,221,2331
Rontex Intl Hldgs Ltd,2002/11/6,2002/10/28,,1142,2329
Grandtop Intl Hldg Ltd,2002/11/7,2002/10/30,,2309,2389
Hainan Meilan Airport Co Ltd,2002/11/12,2002/11/6,CN0007788689,357,4512
PME Group Ltd,2002/11/12,2002/10/31,,379,3471
China Oilfield Services Ltd,2002/11/14,2002/11/4,CN0007789299,2883,1382
Hua Han Bio-Pharmaceutical,2002/12/10,2002/11/28,,587,2834
Anhui Expressway Co Ltd,2002/12/18,2002/12/18,,995,1611
Warderly Intl Hldg Ltd,2002/12/18,2002/11/29,KYG943441017,607,3639
Sinotrans Ltd,2003/2/7,2003/1/23,CN0001729671,598,4512
BEP International Holdings Ltd,2003/2/18,2003/2/18,,2326,5064
Chanco International Group Ltd,2003/2/28,2003/2/28,,264,3172
Yantai North Andre Juice Co,2003/4/22,2003/4/22,,2218,2037
ChinaSoft International Ltd,2003/6/10,2003/6/10,,354,7372
Vedan Intl(Hldgs)Ltd,2003/6/12,2003/6/3,,2317,2869
Ocean Grand Chem Hldg Ltd,2003/6/17,2003/6/17,,2882,2819
Lianhua Supermarket Commercial,2003/6/21,2003/6/11,,980,5411
Wah Yuen Holdings Ltd,2003/6/23,2003/6/12,,2349,2052
Kwang Sung Electn HK Co Ltd,2003/6/24,2003/6/24,,2310,3677
BaoYe Group Co Ltd,2003/6/25,2003/6/17,,2355,1521
China Southern Airlines Co Ltd,2003/7/7,2003/7/7,,1055,4512
Bonjour Holdings Ltd,2003/7/9,2003/6/30,KYG123731096,653,5999
Comba Telecom Sys Hldg Ltd,2003/7/10,2003/6/30,,2342,3663
Leeport(Holdings)Ltd,2003/7/10,2003/6/27,BMG542851040,387,3569
Dawnrays Pharmaceutical Ltd,2003/7/11,2003/6/30,KYG2687M1006,2348,2834
Los Enviro-Pro Holdings Ltd,2003/7/15,2003/7/15,,309,7349
Hopewell Highway,2003/7/31,2003/7/14,,737,1611
Art Textile Tech Intl Co Ltd,2003/9/10,2003/8/28,,565,2299
Hop Fung Group Holdings Ltd,2003/9/15,2003/9/15,,2320,2679
Weiqiao Textile Co Ltd,2003/9/19,2003/9/1,CN0003580551,2698,2299
Lee & Man Paper Mnfg Ltd,2003/9/20,2003/9/10,,2314,2631
Norstar Founders Group Ltd,2003/10/3,2003/9/20,,2339,3714
Jiwa Bio-Pharm Holdings Ltd,2003/10/6,2003/9/30,,2327,2834
AviChina Ind & Tech Co Ltd,2003/10/25,2003/1/11,,2357,3721
Ports Design Ltd,2003/10/25,2002/6/15,,589,2329
Broad Intelligence Intl Pharm,2003/11/19,2003/11/11,,1149,7372
Chia Hsin Cement Greater China,2003/12/2,2003/12/2,,699,3241
Great Wall Auto Hldg Co Ltd,2003/12/9,2003/11/27,CN000A0BKMB1,2333,3711
Fujian Zijin Mining Ind Co Ltd,2003/12/22,2003/8/16,,2899,1041
China Oriental Group Co Ltd,2004/2/23,2004/2/9,BMG2108V1019,581,3316
Ecogreen Fine Chem Grp Ltd,2004/2/27,2004/2/27,,2341,2899
Weichai Power Co Ltd,2004/3/3,2004/2/7,CN000A0B9CD4,2338,3519
Vision Grande Grp Hldg Ltd,2004/3/22,2004/3/22,,2300,2671
China Resources Peoples Tele,2004/3/29,2004/2/28,,331,4812
AMS Public Transport Hldgs Ltd,2004/3/30,2004/3/30,,77,4119
Solomon Systech(Intl)Ltd,2004/3/31,2004/2/28,,2878,3674
Lifestyle Intl Hldgs Ltd,2004/4/8,2004/1/17,KYG548561029,1212,5311
Shandong Molong Petro Mach Co,2004/4/13,2004/3/30,CN000A0B9ZY1,568,3317
Sinocom Software Group Ltd,2004/4/23,2004/4/20,,299,7372
China Mengniu Dairy Co Ltd,2004/6/5,2004/5/17,KYG210961051,2319,2026
Tencent Holdings Ltd,2004/6/10,2004/5/31,KYG875721063,700,7375
China Shipping Container Lines,2004/6/10,2004/5/24,CN000A0B5MC3,2866,4499
Li Ning Co Ltd,2004/6/19,2004/6/11,KYG5496K1085,2331,3949
